time,amplitude
6.112224448897795037e-01,9.772815544129885845e-01
6.132264529058115698e-01,9.910378349823270039e-01
6.152304609218436360e-01,9.527719727353622936e-01
6.172344689378757021e-01,9.738291165264660876e-01
6.192384769539077682e-01,9.963055767628158366e-01
6.212424849699398344e-01,9.945062652398035663e-01
6.232464929859719005e-01,9.942132720803563695e-01
6.252505010020039666e-01,9.943933394991787411e-01
6.272545090180360328e-01,9.943405997315376554e-01
6.292585170340680989e-01,9.943518514102287487e-01
6.312625250501001650e-01,9.943501650149380033e-01
6.332665330661322312e-01,9.943502546683248289e-01
6.352705410821642973e-01,9.943502972971665077e-01
6.372745490981963634e-01,9.943502782739623846e-01
6.392785571142284295e-01,9.943502834433772808e-01
6.412825651302604957e-01,9.943502820997329739e-01
6.432865731462925618e-01,9.943502827140108247e-01
6.452905811623246279e-01,9.943502868257636518e-01
6.472945891783566941e-01,9.943502435857265453e-01
6.492985971943887602e-01,9.943504937995695236e-01
6.513026052104208263e-01,9.943494339351861555e-01
6.533066132264528925e-01,9.943525372645667382e-01
6.553106212424849586e-01,9.943511442054616678e-01
6.573146292585170247e-01,9.942902995213264150e-01
6.593186372745490909e-01,9.947981614044542065e-01
6.613226452905811570e-01,9.912490041602308732e-01
6.633266533066132231e-01,9.885014153592535102e-01
6.653306613226452892e-01,9.883987470972075418e-01
6.673346693386772444e-01,9.945416149619195068e-01
6.693386773547093105e-01,9.942054419292076783e-01
6.713426853707413766e-01,9.943947444547135417e-01
6.733466933867734427e-01,9.943402396781069186e-01
6.753507014028055089e-01,9.943525757217392957e-01
6.773547094188375750e-01,9.943490512128662084e-01
6.793587174348696411e-01,9.943421040637127062e-01
6.813627254509017073e-01,9.944400258640176959e-01
6.833667334669337734e-01,9.938257153180802828e-01
6.853707414829658395e-01,9.965908378601868733e-01
6.873747494989979057e-01,9.789339214835663938e-01
6.893787575150299718e-01,9.886143880476134793e-01
6.913827655310620379e-01,9.762810803419162964e-01
6.933867735470941041e-01,9.778424760614360389e-01
6.953907815631261702e-01,9.772888659575952319e-01
6.973947895791582363e-01,9.774222623870638671e-01
6.993987975951903024e-01,9.773986714390402453e-01
7.014028056112223686e-01,9.774010749235849671e-01
7.034068136272544347e-01,9.774003775635633495e-01
7.054108216432865008e-01,9.774074771318916888e-01
7.074148296593185670e-01,9.773697858558381135e-01
7.094188376753506331e-01,9.775146077514252907e-01
7.114228456913826992e-01,9.812038955798040307e-01
7.134268537074147654e-01,9.853482347138169395e-01
7.154308617234468315e-01,9.396036099868660951e-01
7.174348697394788976e-01,1.002658051185784549e+00
7.194388777555109638e-01,9.925435556481599919e-01
7.214428857715430299e-01,9.946289184513732451e-01
7.234468937875750960e-01,9.943336029626410610e-01
7.254509018036071621e-01,9.943439835469221055e-01
7.274549098196392283e-01,9.943532301371599269e-01
7.294589178356712944e-01,9.943494807640771427e-01
7.314629258517033605e-01,9.943504436537642377e-01
7.334669338677354267e-01,9.943502607561628404e-01
7.354709418837674928e-01,9.943502828469585886e-01
7.374749498997995589e-01,9.943502832863523322e-01
7.394789579158316251e-01,9.943502821824033999e-01
7.414829659318636912e-01,9.943502825617147600e-01
